time_step,n_labeled,n_illicit,logistic_regression,random_forest,xgboost,graphsage
1,2147,17,0.13675213675213677,1.0,1.0,0.8387096774193549
2,1117,18,0.45901639344262296,1.0,1.0,1.0
3,1279,11,0.18604651162790697,1.0,1.0,0.782608695652174
4,1440,30,0.42016806722689076,1.0,1.0,0.9491525423728814
5,1882,8,0.0759493670886076,1.0,1.0,0.8571428571428571
6,485,5,0.36363636363636365,1.0,1.0,0.7272727272727273
7,1203,102,0.7389558232931727,1.0,1.0,0.9805825242718447
8,1165,67,0.7045454545454546,1.0,1.0,0.9481481481481482
9,778,248,0.8812949640287769,0.9979879275653923,1.0,0.9840637450199203
10,972,18,0.3855421686746988,0.9473684210526315,1.0,0.7659574468085106
11,696,131,0.8646864686468647,1.0,1.0,0.9774436090225563
12,506,16,0.6976744186046512,1.0,1.0,0.9142857142857143
13,809,291,0.89937106918239,1.0,1.0,0.9730639730639731
14,417,43,0.7256637168141593,0.9885057471264368,1.0,0.945054945054945
15,618,147,0.8488372093023255,1.0,1.0,0.9865771812080537
16,530,128,0.819672131147541,0.9961089494163424,1.0,0.9769230769230769
17,811,99,0.7871485943775101,0.9949748743718593,1.0,0.9705882352941176
18,389,52,0.6933333333333334,1.0,1.0,0.9541284403669725
19,745,80,0.7136150234741784,0.9876543209876543,1.0,0.9294117647058824
20,900,260,0.8084415584415584,1.0,1.0,0.9718574108818011
21,641,100,0.6006191950464397,0.9950248756218906,1.0,0.9514563106796117
22,1763,158,0.6071428571428571,0.9968454258675079,1.0,0.9546827794561934
23,1187,53,0.47761194029850745,0.9906542056074766,1.0,0.85
24,1126,137,0.5816554809843401,1.0,1.0,0.9198606271777003
25,594,118,0.8210526315789474,0.9957805907172996,1.0,0.9752066115702479
26,517,96,0.5918367346938775,0.9948186528497409,1.0,0.9746192893401016
27,206,24,0.7058823529411765,1.0,1.0,0.9230769230769231
28,284,85,0.8173076923076923,1.0,1.0,0.9770114942528736
29,1174,329,0.7856287425149701,0.996969696969697,1.0,0.9775784753363229
30,524,83,0.6212121212121212,0.9940119760479041,1.0,0.9540229885057471
31,710,106,0.47342995169082125,0.957345971563981,0.9302325581395349,0.8727272727272727
32,1323,342,0.5929824561403508,0.983941605839416,0.9854651162790697,0.9051724137931034
33,441,23,0.4380952380952381,0.8636363636363636,0.8837209302325582,0.8085106382978723
34,515,37,0.30578512396694213,0.9577464788732394,0.972972972972973,0.6506024096385542
35,1341,182,0.47074122236671,0.9567567567567568,0.9518716577540107,0.722488038277512
36,1708,33,0.09046849757673667,0.8311688311688312,0.7333333333333333,0.2638888888888889
37,498,40,0.35944700460829493,0.7575757575757576,0.7887323943661971,0.3783783783783784
38,756,111,0.44353182751540043,0.9302325581395349,0.9140271493212669,0.46511627906976744
39,1183,81,0.3193612774451098,0.8941176470588236,0.8700564971751412,0.3576158940397351
40,1211,112,0.3072463768115942,0.7575757575757576,0.7549019607843137,0.4489795918367347
41,1132,116,0.28879892037786775,0.9344978165938864,0.9243697478991597,0.44166666666666665
42,2154,239,0.4095322153574581,0.8603603603603603,0.8398268398268398,0.645021645021645
43,1370,24,0.04197530864197531,0.0,0.0,0.0
44,1591,24,0.0273972602739726,0.03389830508474576,0.05194805194805195,0.028985507246376812
45,1221,5,0.019230769230769232,0.0,0.0,0.0
46,712,2,0.0213903743315508,0.18181818181818182,0.09523809523809523,0.06666666666666667
47,846,22,0.12286689419795221,0.0,0.0,0.0
48,471,36,0.46357615894039733,0.0,0.04878048780487805,0.08888888888888889
49,476,56,0.4792626728110599,0.03125,0.028985507246376812,0.0
