timestamp,experiment,model,feature_set,resampling,split,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,ks_statistic,gini
2026-06-18T12:29:43.664720+00:00,paysim_fraud,logistic_regression,full,none,val,16,0.838249778218624,0.007841624887517676,0.9891891891891892,0.015559901368931213,0.9901714505642493,0.7413415264685632,0.08045574312143884,0.9722070805540527,0.9803429011284985
2026-06-18T12:29:43.924283+00:00,paysim_fraud,logistic_regression,full,none,test,16,0.8401008668683073,0.0079743434168328,0.9945945945945946,0.01582183240895997,0.9978297320359514,0.7483953828831862,0.08153284573083314,0.9766262926655725,0.9956594640719028
2026-06-18T12:32:06.514091+00:00,paysim_fraud,random_forest,full,none,val,16,0.9999930147598125,1.0,0.9945945945945946,0.997289972899729,0.9995595494777163,0.994679089736124,0.9972901474352796,0.9945945945945946,0.9991190989554326
2026-06-18T12:32:07.365416+00:00,paysim_fraud,random_forest,full,none,test,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-18T12:32:35.758274+00:00,paysim_fraud,xgboost,full,none,val,16,0.9998742656766253,0.946524064171123,0.9567567567567568,0.9516129032258065,0.9999689227185136,0.9904891889924842,0.9515637445150206,0.9957544728412159,0.9999378454370271
2026-06-18T12:32:36.608427+00:00,paysim_fraud,xgboost,full,none,test,16,0.9998323542355004,0.900497512437811,0.9783783783783784,0.9378238341968912,0.9999927032660256,0.9946928021813548,0.9385488575391229,0.9997901716395988,0.9999854065320513
2026-06-18T12:32:49.736543+00:00,paysim_fraud,logistic_regression,no_leakage,none,val,12,0.7114886245363546,0.0044113393115417995,0.9891891891891892,0.008783508123545081,0.9894929299184618,0.6256115191197821,0.055457793297368406,0.9304722574771674,0.9789858598369237
2026-06-18T12:32:54.223088+00:00,paysim_fraud,logistic_regression,no_leakage,none,test,12,0.7121801633149156,0.0044697866582908505,1.0,0.008899793139943234,0.9947871451963105,0.5713800469081077,0.05640592828051194,0.9433988186852345,0.989574290392621
2026-06-18T12:35:33.727855+00:00,paysim_fraud,random_forest,no_leakage,none,val,12,0.99461437981545,0.18696581196581197,0.9459459459459459,0.31222123104371097,0.9967934823908638,0.8652075104331508,0.4192830330458808,0.9515040156611352,0.9935869647817277
2026-06-18T12:35:35.943038+00:00,paysim_fraud,random_forest,no_leakage,none,test,12,0.9947051879378872,0.1882480957562568,0.9351351351351351,0.3134057971014493,0.9987381187053853,0.8622395269389533,0.4183021974554984,0.9720438681158812,0.9974762374107706
2026-06-18T12:36:27.986706+00:00,paysim_fraud,xgboost,no_leakage,none,val,12,0.9994900774663137,0.7434782608695653,0.9243243243243243,0.8240963855421687,0.9996024603225913,0.9392849897200312,0.8287446758506685,0.9832288917395301,0.9992049206451825
2026-06-18T12:36:30.123534+00:00,paysim_fraud,xgboost,no_leakage,none,test,12,0.9994761069859387,0.7433628318584071,0.9081081081081082,0.8175182481751825,0.9997534989351684,0.9419134522623868,0.8213673337661221,0.9909983633387889,0.9995069978703368
2026-06-18T13:30:35.273593+00:00,paysim_fraud,hetero_sage,full,none,val,16,0.9987217010456905,0.5055555555555555,0.4918918918918919,0.4986301369863014,0.959701782860539,0.5174890857840213,0.49803714242112773,0.8321246085566871,0.919403565721078
2026-06-18T13:30:35.884115+00:00,paysim_fraud,hetero_sage,full,none,test,16,0.9986169224428783,0.46798029556650245,0.5135135135135135,0.4896907216494845,0.9559621310848806,0.5356935517468443,0.4895282296853557,0.8037208806439576,0.9119242621697612
